,emoji,sentiment,re_emoji
104,😰,neu,😰
105,😥,neu,😥
106,😖,neu,😖
107,😣,neu,😣
108,😞,neu,😞
109,😩,neu,😩
110,😫,neu,😫
111,😤,neg,😤
112,😡,neg,😡
113,😠,neg,😠
114,🤬,neg,🤬
115,👿,neg,👿
116,👎,neg,👎
117,💔,neg,💔
118,❤️‍🔥,neg,❤️‍🔥
119,❤️‍🩹,neg,❤️‍🩹
120,❌,neg,❌
121,❎,neg,❎
122,[打call],pos,\[打call\]
123,[心],pos,\[心\]
124,[允悲],pos,\[允悲\]
125,[doge],pos,\[doge\]
126,[爱你],pos,\[爱你\]
127,[哈哈],pos,\[哈哈\]
128,[嘻嘻],pos,\[嘻嘻\]
129,[鼓掌],pos,\[鼓掌\]
130,[笑cry],pos,\[笑cry\]
131,[good],pos,\[good\]
132,[赞],pos,\[赞\]
133,[憧憬],pos,\[憧憬\]
134,[太开心],pos,\[太开心\]
135,[羞嗒嗒],pos,\[羞嗒嗒\]
136,[鲜花],pos,\[鲜花\]
137,[开学季],pos,\[开学季\]
138,[偷笑],pos,\[偷笑\]
139,[馋嘴],pos,\[馋嘴\]
140,[色],pos,\[色\]
141,[可爱],pos,\[可爱\]
142,[给你小心心],pos,\[给你小心心\]
143,[赢牛奶],pos,\[赢牛奶\]
144,[抱一抱],pos,\[抱一抱\]
145,[好喜欢],pos,\[好喜欢\]
146,[兔子],pos,\[兔子\]
147,[微笑],pos,\[微笑\]
148,[舔屏],pos,\[舔屏\]
149,[超话],pos,\[超话\]
150,[抱抱],pos,\[抱抱\]
151,[坏笑],pos,\[坏笑\]
152,[awsl],pos,\[awsl\]
153,[挤眼],pos,\[挤眼\]
154,[可怜],pos,\[可怜\]
155,[好爱哦],pos,\[好爱哦\]
156,[酷],pos,\[酷\]
157,[加油],pos,\[加油\]
158,[笑而不语],pos,\[笑而不语\]
159,[求关注],pos,\[求关注\]
160,[跪了],pos,\[跪了\]
161,[耶],pos,\[耶\]
162,[亲亲],pos,\[亲亲\]
163,[赞啊],pos,\[赞啊\]
164,[单身狗],neu,\[单身狗\]
165,[害羞],pos,\[害羞\]
166,[并不简单],pos,\[并不简单\]
167,[春游家族],pos,\[春游家族\]
