,emoji,channel,sentiment,re_emoji
790,[Scold],wechat,neg,\[Scold\]
791,[Skull],wechat,neu,\[Skull\]
792,[Hammer],wechat,neu,\[Hammer\]
793,[Wave],wechat,neu,\[Wave\]
794,[Bah！L],wechat,neu,\[Bah！L\]
795,[Bah！R],wechat,neu,\[Bah！R\]
796,[Pooh-pooh],wechat,neg,\[Pooh-pooh\]
797,[Wrath],wechat,neu,\[Wrath\]
798,[Facepalm],wechat,pos,\[Facepalm\]
799,[Yeah!],wechat,pos,\[Yeah!\]
800,[ThumbsDown],wechat,neg,\[ThumbsDown\]
801,[Cake],wechat,pos,\[Cake\]
802,[Cleaver],wechat,neg,\[Cleaver\]
803,[Bomb],wechat,pos,\[Bomb\]
804,[Poop],wechat,neu,\[Poop\]
805,[Moon],wechat,pos,\[Moon\]
806,[Gift],wechat,pos,\[Gift\]
807,[Basketball],wechat,pos,\[Basketball\]
808,[PingPong],wechat,pos,\[PingPong\]
809,[Rice],wechat,pos,\[Rice\]
810,[Lightning],wechat,neu,\[Lightning\]
811,[Shame],wechat,neu,\[Shame\]
812,[可爱],weibo,pos,\[可爱\]
813,[太开心],weibo,pos,\[太开心\]
814,[嘻嘻],weibo,pos,\[嘻嘻\]
815,[哈哈],weibo,pos,\[哈哈\]
816,[笑cry],weibo,pos,\[笑cry\]
817,[挤眼],weibo,pos,\[挤眼\]
818,[馋嘴],weibo,pos,\[馋嘴\]
819,[黑线],weibo,neu,\[黑线\]
820,[哼],weibo,neu,\[哼\]
821,[悲伤],weibo,neu,\[悲伤\]
822,[泪],weibo,neu,\[泪\]
823,[允悲],weibo,pos,\[允悲\]
824,[憧憬],weibo,pos,\[憧憬\]
825,[舔屏],weibo,pos,\[舔屏\]
826,[思考],weibo,neu,\[思考\]
827,[傻眼],weibo,neu,\[傻眼\]
828,[互粉],weibo,pos,\[互粉\]
829,[钱],weibo,pos,\[钱\]
830,[打call],weibo,pos,\[打call\]
831,[牛年大吉],weibo,pos,\[牛年大吉\]
832,[doge],weibo,pos,\[doge\]
833,[二哈],weibo,pos,\[二哈\]
834,[摊手],weibo,neu,\[摊手\]
835,[跪了],weibo,pos,\[跪了\]
836,[迎福运],weibo,pos,\[迎福运\]
837,[福到了],weibo,pos,\[福到了\]
838,[丘比特],weibo,pos,\[丘比特\]
839,[奶瓶],weibo,pos,\[奶瓶\]
840,[百事可乐],weibo,pos,\[百事可乐\]
841,[微笑趣泡],weibo,pos,\[微笑趣泡\]
842,[红围脖],weibo,pos,\[红围脖\]
843,[2022],weibo,pos,\[2022\]
844,[小雪人],weibo,pos,\[小雪人\]
845,[雪刀],weibo,pos,\[雪刀\]
846,[风起洛阳],weibo,pos,\[风起洛阳\]
847,[开学季],weibo,pos,\[开学季\]
848,[赢牛奶],weibo,pos,\[赢牛奶\]
849,[心],weibo,pos,\[心\]
850,[伤心],weibo,neg,\[伤心\]
851,[赞],weibo,pos,\[赞\]
852,[ok],weibo,pos,\[ok\]
853,[奥特曼],weibo,pos,\[奥特曼\]
854,[给力],weibo,pos,\[给力\]
855,[羞嗒嗒],weibo,pos,\[羞嗒嗒\]
856,[好喜欢],weibo,pos,\[好喜欢\]
857,[圣诞老人111],weibo,pos,\[圣诞老人111\]
858,[五仁月饼_旧],weibo,pos,\[五仁月饼_旧\]
859,[给你小心心],weibo,pos,\[给你小心心\]
860,[圣诞袜],weibo,pos,\[圣诞袜\]
861,[圣诞帽],weibo,pos,\[圣诞帽\]
862,[平安果],weibo,pos,\[平安果\]
863,[姜饼人],weibo,pos,\[姜饼人\]
864,[欢度国庆],weibo,pos,\[欢度国庆\]
865,[七夕布谷鸟],weibo,pos,\[七夕布谷鸟\]
866,[撒狗粮],weibo,pos,\[撒狗粮\]
867,[求脱单],weibo,pos,\[求脱单\]
868,[这就是街舞3],weibo,pos,\[这就是街舞3\]
869,[毛巾助力],weibo,pos,\[毛巾助力\]
870,[超新星运动会],weibo,pos,\[超新星运动会\]
871,[父与子],weibo,pos,\[父与子\]
872,[棒棒糖],weibo,pos,\[棒棒糖\]
873,[纸飞机],weibo,pos,\[纸飞机\]
874,[锦鲤],weibo,pos,\[锦鲤\]
875,[绿植领养],weibo,pos,\[绿植领养\]
876,[绿植挖土],weibo,pos,\[绿植挖土\]
877,[绿植托脸],weibo,pos,\[绿植托脸\]
878,[绿植乖巧],weibo,pos,\[绿植乖巧\]
879,[C3PO],weibo,pos,\[C3PO\]
880,[哆啦A梦害怕],weibo,neg,\[哆啦A梦害怕\]
881,[哆啦A梦微笑],weibo,pos,\[哆啦A梦微笑\]
882,[小黄人剪刀手],weibo,pos,\[小黄人剪刀手\]
883,[害羞R],xiaohongshu,pos,\[害羞R\]
884,[失望R],xiaohongshu,neu,\[失望R\]
885,[汗颜R],xiaohongshu,neu,\[汗颜R\]
886,[哇R],xiaohongshu,pos,\[哇R\]
887,[偷笑R],xiaohongshu,pos,\[偷笑R\]
888,[飞吻R],xiaohongshu,pos,\[飞吻R\]
889,[石化R],xiaohongshu,neg,\[石化R\]
890,[笑哭R],xiaohongshu,pos,\[笑哭R\]
891,[赞R],xiaohongshu,pos,\[赞R\]
892,[大笑R],xiaohongshu,pos,\[大笑R\]
893,[哭惹R],xiaohongshu,neu,\[哭惹R\]
894,[斜眼R],xiaohongshu,pos,\[斜眼R\]
895,[皱眉R],xiaohongshu,pos,\[皱眉R\]
896,[捂脸R],xiaohongshu,pos,\[捂脸R\]
897,[派对R],xiaohongshu,pos,\[派对R\]
898,[色色],xiaohongshu,pos,\[色色\]
899,[石化],xiaohongshu,neg,\[石化\]
